episode,reward,actions
1,-524,"Counter({0: 70, 1: 36, 2: 34, 3: 22, 6: 15, 5: 14, 4: 9})"
2,-814,"Counter({1: 55, 0: 48, 2: 37, 3: 21, 5: 20, 4: 11, 6: 8})"
3,-2067,"Counter({1: 39, 5: 36, 4: 31, 0: 31, 2: 28, 6: 23, 3: 12})"
4,-2425,"Counter({5: 41, 4: 33, 1: 31, 6: 27, 3: 25, 0: 23, 2: 20})"
5,-2379,"Counter({5: 43, 6: 33, 0: 29, 4: 26, 3: 25, 1: 23, 2: 21})"
6,-2255,"Counter({5: 45, 0: 41, 4: 33, 6: 27, 1: 21, 3: 17, 2: 16})"
7,-2567,"Counter({5: 48, 6: 37, 0: 31, 4: 28, 1: 21, 3: 18, 2: 17})"
8,-2594,"Counter({5: 55, 6: 42, 0: 32, 1: 22, 4: 18, 2: 18, 3: 13})"
9,-2553,"Counter({6: 60, 0: 35, 5: 28, 4: 25, 1: 22, 2: 16, 3: 14})"
10,-2334,"Counter({6: 57, 0: 34, 2: 24, 4: 23, 3: 21, 5: 21, 1: 20})"
11,-2504,"Counter({6: 62, 0: 34, 4: 26, 1: 24, 3: 21, 5: 21, 2: 12})"
12,-2346,"Counter({6: 64, 0: 42, 1: 25, 5: 22, 4: 21, 2: 14, 3: 12})"
13,-2439,"Counter({6: 65, 0: 37, 5: 24, 1: 21, 2: 19, 4: 19, 3: 15})"
14,-2385,"Counter({6: 71, 0: 45, 5: 24, 1: 20, 4: 15, 3: 14, 2: 11})"
15,-2445,"Counter({6: 70, 0: 45, 4: 22, 5: 21, 1: 17, 3: 15, 2: 10})"
16,-2341,"Counter({6: 70, 0: 49, 5: 26, 3: 19, 1: 15, 4: 14, 2: 7})"
17,-2388,"Counter({6: 77, 0: 52, 5: 25, 1: 15, 4: 13, 2: 13, 3: 5})"
18,-2295,"Counter({6: 75, 0: 47, 2: 21, 5: 18, 1: 17, 4: 14, 3: 8})"
19,-2245,"Counter({6: 62, 0: 43, 1: 24, 5: 24, 3: 20, 4: 16, 2: 11})"
20,-2202,"Counter({6: 69, 0: 46, 2: 22, 5: 20, 1: 19, 4: 13, 3: 11})"
21,-2202,"Counter({6: 75, 0: 56, 5: 17, 4: 16, 2: 13, 1: 13, 3: 10})"
22,-2177,"Counter({6: 69, 0: 49, 5: 20, 3: 18, 1: 17, 2: 14, 4: 13})"
23,-2402,"Counter({6: 72, 0: 44, 4: 19, 5: 19, 1: 17, 3: 15, 2: 14})"
24,-2232,"Counter({6: 70, 0: 52, 4: 21, 2: 17, 5: 16, 3: 14, 1: 10})"
25,-2308,"Counter({6: 76, 0: 56, 4: 22, 5: 16, 1: 16, 2: 12, 3: 2})"
26,-2180,"Counter({6: 78, 0: 54, 1: 17, 4: 14, 5: 13, 3: 13, 2: 11})"
27,-2304,"Counter({6: 85, 0: 58, 5: 20, 3: 14, 2: 9, 4: 8, 1: 6})"
28,-2238,"Counter({6: 76, 0: 54, 4: 19, 1: 16, 3: 14, 5: 13, 2: 8})"
29,-2266,"Counter({6: 80, 0: 54, 5: 16, 1: 14, 3: 14, 4: 13, 2: 9})"
30,-2437,"Counter({6: 86, 0: 53, 5: 18, 4: 13, 2: 12, 1: 11, 3: 7})"
31,-2101,"Counter({6: 74, 0: 59, 5: 18, 2: 16, 4: 13, 3: 10, 1: 10})"
32,-2184,"Counter({6: 72, 0: 52, 5: 22, 3: 18, 1: 14, 2: 12, 4: 10})"
33,-2242,"Counter({6: 87, 0: 62, 5: 16, 2: 11, 4: 10, 1: 7, 3: 7})"
