episode,reward,action_entropy,z_norm,actions
1,-399.08239436619715,1.6091574430465698,2.641155635156939,"Counter({3: 8, 2: 7, 4: 7, 0: 6, 1: 3})"
2,-488.9999999999999,1.609117031097412,2.693113785523635,"Counter({2: 15, 1: 12, 0: 9, 4: 8, 3: 8})"
3,-486.5568181818182,1.6079307794570923,2.608877351943483,"Counter({1: 14, 0: 10, 4: 9, 3: 8, 2: 6})"
4,-328.9357142857143,1.6042380332946777,2.445780810187845,"Counter({4: 5, 1: 4, 2: 4, 3: 3, 0: 1})"
5,-1289.223809523809,1.6036919355392456,2.100487985948878,"Counter({0: 29, 4: 29, 1: 27, 2: 25, 3: 17})"
6,-1051.8285714285716,1.5951800346374512,2.0771407814859186,"Counter({0: 27, 4: 24, 1: 21, 3: 16, 2: 15})"
7,-340.80422535211267,1.582781434059143,2.093536615371704,"Counter({0: 6, 4: 6, 1: 5, 2: 5, 3: 4})"
8,-1490.8985915492958,1.4715399742126465,1.9411706838011742,"Counter({0: 60, 3: 48, 1: 38, 4: 29, 2: 25})"
9,-1265.6727272727283,0.9901615381240845,1.9111576062440871,"Counter({0: 80, 3: 72, 2: 21, 4: 14, 1: 13})"
10,-670.8795774647888,0.8405929803848267,1.8381270019313958,"Counter({3: 36, 0: 25, 1: 8, 2: 6, 4: 4})"
11,-1093.8136363636363,0.8953466415405273,1.9283998747394508,"Counter({3: 38, 0: 17, 4: 10, 1: 5, 2: 3})"
12,-1189.6978873239434,1.2340209484100342,1.9819113465204632,"Counter({0: 48, 2: 33, 1: 32, 3: 28, 4: 5})"
13,-215.5090909090909,1.1767643690109253,1.8701553969156175,"Counter({1: 13, 3: 3, 0: 2, 2: 2, 4: 1})"
14,-226.45070422535213,1.1257294416427612,2.058932578122174,"Counter({1: 15, 0: 5, 2: 4, 4: 2, 3: 1})"
15,-303.94545454545454,1.144648551940918,2.10378227631251,"Counter({2: 5, 4: 5, 1: 5, 0: 2, 3: 1})"
16,-219.2985915492958,1.0973154306411743,1.699242958000728,"Counter({1: 7, 2: 6, 0: 4, 4: 2, 3: 2})"
17,-312.0772727272727,1.1861683130264282,1.9878736546165066,"Counter({2: 9, 4: 5, 3: 2, 0: 2, 1: 1})"
18,-760.7281690140844,1.231529951095581,1.9335849022581464,"Counter({2: 27, 0: 21, 4: 16, 1: 15, 3: 5})"
19,-328.17183098591545,1.177754282951355,1.9415146871046587,"Counter({4: 6, 3: 2, 2: 2, 0: 1})"
20,-508.86190476190484,1.009316086769104,1.879752966490659,"Counter({4: 11, 0: 4, 2: 3, 3: 2, 1: 2})"
21,-1567.3760563380283,1.044837474822998,1.913939901157818,"Counter({4: 41, 0: 38, 1: 15, 2: 11, 3: 8})"
22,-439.49772727272756,0.35979077219963074,1.9743832650780677,"Counter({0: 142, 4: 22, 2: 14, 1: 11, 3: 11})"
23,-111.29295774647879,0.25610968470573425,1.942065613269806,"Counter({0: 142, 3: 23, 2: 14, 1: 12, 4: 9})"
24,53.40952380952382,0.08446062356233597,1.9667627993226051,"Counter({0: 156, 1: 19, 3: 11, 4: 8, 2: 6})"
25,-34.69295774647885,0.0018462883308529854,1.988249297440052,"Counter({0: 164, 4: 14, 2: 9, 3: 8, 1: 5})"
26,-153.17499999999998,0.0001431079290341586,1.9939931470451626,"Counter({0: 116, 3: 9, 2: 8, 4: 4, 1: 4})"
27,116.5404761904762,8.496386726619676e-05,1.964351736307144,"Counter({0: 160, 1: 15, 3: 9, 2: 8, 4: 8})"
28,42.76190476190476,5.8309611631557345e-05,1.9243487846851348,"Counter({0: 155, 3: 15, 1: 12, 2: 10, 4: 8})"
29,115.61190476190478,3.202768857590854e-05,1.9714914062619209,"Counter({0: 172, 4: 10, 3: 8, 1: 7, 2: 3})"
30,97.9190476190476,2.5799978175200522e-05,1.953551173210144,"Counter({0: 163, 3: 12, 4: 9, 1: 9, 2: 7})"
31,171.26056338028164,2.2470103431260213e-05,1.9706772968173027,"Counter({0: 168, 3: 17, 4: 6, 2: 6, 1: 3})"
32,69.08181818181828,1.4705824469274376e-05,1.8955917578935624,"Counter({0: 162, 3: 13, 4: 9, 1: 9, 2: 7})"
33,-16.378571428571476,1.3007640518480912e-05,1.9400020515918732,"Counter({0: 154, 3: 15, 1: 12, 4: 10, 2: 9})"
34,203.37142857142865,8.252994120994117e-06,1.9204443314671515,"Counter({0: 165, 2: 15, 3: 9, 4: 6, 1: 5})"
35,186.22727272727275,9.42687074712012e-06,1.9455384430289269,"Counter({0: 169, 2: 12, 4: 8, 3: 6, 1: 5})"
36,-131.50454545454545,1.2705504559562542e-05,1.9120116968452932,"Counter({0: 153, 4: 14, 3: 12, 1: 11, 2: 10})"
