episode,reward,alpha,ent_ref,ent_ep,argmax_ref,p0,p1,p2,p3,p4,q0,q1,q2,q3,q4,z_norm,loss_actor,loss_critic
1,-379.9214285714286,0.20000000298023224,1.6093437671661377,1.6090677976608276,1,0.19733621180057526,0.2039107233285904,0.20228774845600128,0.19685718417167664,0.19960807263851166,-0.032977402210235596,0.04616447165608406,-0.0632479339838028,0.09435215592384338,-0.08245678246021271,2.9744758672184415,,
2,-267.8454545454546,0.19948075711727142,1.6085638999938965,1.6086252927780151,1,0.19335098564624786,0.21244993805885315,0.19440396130084991,0.20768599212169647,0.1921091228723526,-0.0439884215593338,0.03401786834001541,-0.07587169110774994,0.08472675085067749,-0.0922960564494133,3.118733387727004,-0.3089703367306636,129.65504338191107
3,-299.98333333333335,0.19884438812732697,1.604841709136963,1.6050045490264893,3,0.18690867722034454,0.2227896898984909,0.18342991173267365,0.22428958117961884,0.18258216977119446,-0.0587586984038353,0.01987813413143158,-0.0925658792257309,0.07174932956695557,-0.10456926375627518,2.496752615769704,-0.2930129710584879,131.62272834777832
4,-279.70422535211264,0.19864648580551147,1.6027843952178955,1.6003972291946411,3,0.18458648025989532,0.22654910385608673,0.17942434549331665,0.2300713062286377,0.1793687492609024,-0.06360021233558655,0.015647856518626213,-0.09771355986595154,0.06703610718250275,-0.10800953954458237,2.4956069231033324,-0.28403117060661315,133.32842102050782
5,-467.21830985915494,0.19676578044891357,1.5767402648925781,1.5804200172424316,3,0.17305630445480347,0.23090174794197083,0.15049904584884644,0.28789323568344116,0.15764962136745453,-0.12046787142753601,-0.045077256858348846,-0.15681372582912445,0.015776734799146652,-0.16131900250911713,2.380474185457035,-0.2361330675835512,142.35742997150032
6,-858.4760563380282,0.1928727775812149,1.5436744689941406,1.5518360137939453,3,0.16216957569122314,0.21821139752864838,0.13499604165554047,0.3403319716453552,0.14429104328155518,-0.3579654097557068,-0.2823115289211273,-0.39510685205459595,-0.18231025338172913,-0.3939613699913025,2.121697292575296,-0.04679362873880649,137.9826485255979
7,-824.7214285714285,0.19055791199207306,1.4777723550796509,1.4954218864440918,3,0.1359218955039978,0.20413370430469513,0.11605960875749588,0.41227102279663086,0.13161379098892212,-0.6667855381965637,-0.5763178467750549,-0.7006314992904663,-0.43519318103790283,-0.6846984624862671,1.960451366196216,0.32306687544349216,134.57500823114958
8,-274.58095238095234,0.18987777829170227,1.4449374675750732,1.4547827243804932,3,0.12598703801631927,0.20612089335918427,0.10708659142255783,0.4379609227180481,0.12284456193447113,-0.7963493466377258,-0.6947445273399353,-0.8357428312301636,-0.5549364686012268,-0.8124951124191284,1.983606483625329,0.5968912010607512,142.29699441661006
9,-338.35238095238094,0.18931162357330322,1.4275712966918945,1.4158107042312622,3,0.12176521122455597,0.20822665095329285,0.09936179220676422,0.4495942294597626,0.12105217576026917,-0.9225077629089355,-0.8106082677841187,-0.9700738191604614,-0.6696128249168396,-0.9366923570632935,1.9566948473453523,0.774771636724472,136.6201015472412
10,-552.0045454545455,0.18791480362415314,1.398518443107605,1.411484718322754,3,0.11905571073293686,0.22345736622810364,0.08431163430213928,0.46143531799316406,0.11173993349075317,-1.3120418787002563,-1.185420274734497,-1.3880270719528198,-1.0526888370513916,-1.3353805541992188,2.0553522330743297,1.1375582549307082,144.37623850504556
11,-174.30422535211267,0.1876658946275711,1.3910932540893555,1.4239494800567627,3,0.1195557713508606,0.22105273604393005,0.0806318074464798,0.4670020341873169,0.11175758391618729,-1.39639413356781,-1.2676385641098022,-1.4776952266693115,-1.1361922025680542,-1.4190425872802734,2.284210503101349,1.4965250015258789,146.82097930908202
12,-226.875,0.18721239268779755,1.3819175958633423,1.3782473802566528,3,0.11363118886947632,0.23637399077415466,0.075807124376297,0.4646984040737152,0.1094893142580986,-1.565362572669983,-1.4184825420379639,-1.6516997814178467,-1.2986505031585693,-1.5816636085510254,2.008943690194024,1.6276140146785312,137.8821818033854
13,-217.68863636363636,0.1868722289800644,1.3789104223251343,1.350725769996643,3,0.11134333908557892,0.25190508365631104,0.07183957099914551,0.4570732116699219,0.10783881694078445,-1.705500602722168,-1.5430372953414917,-1.7944988012313843,-1.4358785152435303,-1.712343692779541,2.1794419969831194,1.8597368683133806,144.71715000697546
14,-401.68095238095236,0.1861126571893692,1.4073723554611206,1.3489691019058228,3,0.10610304027795792,0.2689906060695648,0.0696038007736206,0.4237670600414276,0.13153547048568726,-2.039193630218506,-1.8618642091751099,-2.130176544189453,-1.7828916311264038,-2.0099411010742188,2.196292413819221,2.227497508448939,144.58829055293913
15,-227.81666666666666,0.18583641946315765,1.426527976989746,1.4418046474456787,3,0.10875371843576431,0.2842663824558258,0.07112015783786774,0.3981616497039795,0.13769808411598206,-2.14713978767395,-1.9675828218460083,-2.238699436187744,-1.9079475402832031,-2.113393545150757,1.9593392252922057,2.525467324256897,143.50170211791993
16,-360.43169014084503,0.18483293056488037,1.471498727798462,1.4676786661148071,3,0.11810614913702011,0.2969535291194916,0.07541309297084808,0.34546953439712524,0.16405776143074036,-2.51814603805542,-2.3434526920318604,-2.6144843101501465,-2.3181800842285156,-2.4657089710235596,1.9506692309533396,2.8026006529408116,138.41561668149888
17,-350.3772727272727,0.1841394603252411,1.486661672592163,1.4967827796936035,1,0.12140768021345139,0.3256363570690155,0.07683177292346954,0.297893762588501,0.17823047935962677,-2.76914119720459,-2.5881381034851074,-2.861464738845825,-2.6014561653137207,-2.703545093536377,1.8612284283888967,3.2273025010761462,140.3616883127313
18,-385.1014084507042,0.1834498792886734,1.5034153461456299,1.5054415464401245,1,0.12419435381889343,0.3263242840766907,0.080105260014534,0.2639578580856323,0.20541830360889435,-3.028980255126953,-2.848395586013794,-3.125559091567993,-2.88520884513855,-2.945171594619751,1.942208058304257,3.5912970701853433,147.5409630669488
19,-224.20238095238096,0.18306049704551697,1.5044867992401123,1.513289213180542,1,0.12626050412654877,0.33181723952293396,0.0806216299533844,0.25470399856567383,0.20659659802913666,-3.181837320327759,-3.0009467601776123,-3.2791988849639893,-3.0493102073669434,-3.092419385910034,2.1767364382743835,3.982731795310974,134.94341049194335
20,-583.4915492957747,0.18163196742534637,1.4939875602722168,1.5131375789642334,1,0.12564225494861603,0.36649394035339355,0.08407001942396164,0.2044869363307953,0.21930687129497528,-3.7995989322662354,-3.603989601135254,-3.8801894187927246,-3.7086598873138428,-3.694566249847412,1.963257344993385,4.413672621185715,143.67556927655195
21,-511.10070422535216,0.18014855682849884,1.5116328001022339,1.5138245820999146,1,0.1307486742734909,0.3505455255508423,0.11190605908632278,0.14889861643314362,0.2579011917114258,-4.517159461975098,-4.337649345397949,-4.563422679901123,-4.494091033935547,-4.398085594177246,2.0687731137642493,5.235039833264473,146.5528568365635
22,-750.8071428571433,0.17764651775360107,1.5021228790283203,1.5242934226989746,1,0.174302339553833,0.33515816926956177,0.1517990082502365,0.07443906366825104,0.2643013894557953,-5.868336200714111,-5.757238864898682,-5.898978233337402,-6.044930934906006,-5.790624618530273,1.9840214894368098,6.653346824645996,147.36160665658804
23,-203.89154929577467,0.176872119307518,1.490172266960144,1.497641921043396,1,0.19124823808670044,0.3298461139202118,0.16863389313220978,0.05481799319386482,0.2554537355899811,-6.369426727294922,-6.274442195892334,-6.397477626800537,-6.609755516052246,-6.318585395812988,1.9630028236479986,7.85890481585548,150.7636962164016
24,-1252.2976190476188,0.17221833765506744,1.4011443853378296,1.445145845413208,2,0.2071051299571991,0.22324338555335999,0.35823142528533936,0.01127553079277277,0.20014451444149017,-10.62116813659668,-10.600516319274902,-10.525530815124512,-11.171297073364258,-10.6238374710083,1.9604433544360809,10.89206616547856,142.33744695064794
25,-224.77045454545453,0.17192292213439941,1.3829600811004639,1.4057869911193848,2,0.19376696646213531,0.21551647782325745,0.38177087903022766,0.00976619217544794,0.19917945563793182,-11.009387969970703,-10.98644733428955,-10.90274715423584,-11.571584701538086,-11.017464637756348,2.1477306485176086,13.885426712036132,138.7203155517578
26,-321.26760563380276,0.17085018754005432,1.3373911380767822,1.342971920967102,2,0.22300800681114197,0.18142744898796082,0.42517340183258057,0.006595071870833635,0.1637960970401764,-12.61203670501709,-12.642651557922363,-12.509549140930176,-13.272099494934082,-12.675202369689941,2.107579764723778,15.368282032012939,142.97564296722413
27,-230.11478873239437,0.17060184478759766,1.3149454593658447,1.3043503761291504,2,0.21074740588665009,0.17875373363494873,0.4497150182723999,0.006048446521162987,0.15473534166812897,-13.035898208618164,-13.063407897949219,-12.918839454650879,-13.717740058898926,-13.092018127441406,1.8933267712593078,16.798514747619627,135.5646194458008
28,-410.64523809523814,0.1699807047843933,1.344846487045288,1.332944631576538,2,0.2475874274969101,0.18981893360614777,0.40221232175827026,0.005496175494045019,0.1548852175474167,-14.133792877197266,-14.181809425354004,-14.057132720947266,-14.850327491760254,-14.226202964782715,1.9122420835494995,17.325377616882324,133.60190521240236
29,-205.67142857142858,0.16942435503005981,1.3168140649795532,1.3262642621994019,2,0.25689172744750977,0.20885851979255676,0.41328680515289307,0.004704507067799568,0.1162584200501442,-15.164432525634766,-15.203882217407227,-15.093141555786133,-15.896726608276367,-15.31625747680664,1.9938798384232954,18.951480692083184,137.62062627618963
30,-855.5295454545454,0.16657070815563202,1.06901216506958,1.1582109928131104,2,0.34986984729766846,0.07844174653291702,0.5197722911834717,0.001921708113513887,0.04999444633722305,-23.23005485534668,-23.50214195251465,-23.17244529724121,-24.110013961791992,-23.538314819335938,1.8854716971617977,24.68985584990619,130.71921142160076
31,-342.90492957746477,0.16631296277046204,1.1068024635314941,1.0681155920028687,0,0.4372090697288513,0.08155351877212524,0.42223039269447327,0.0022703693248331547,0.05673661082983017,-25.614765167236328,-25.889724731445312,-25.616342544555664,-26.47951316833496,-25.975797653198242,2.029938045475218,31.396965503692627,126.13105985853407
32,-703.7204225352111,0.16724148392677307,0.7736612558364868,0.9083847999572754,0,0.7440832853317261,0.12860868871212006,0.004262521862983704,0.001676074811257422,0.12136933952569962,-41.52602767944336,-41.81102752685547,-42.647552490234375,-42.13383483886719,-41.819915771484375,1.9770576168596745,43.5400281047821,109.6074942779541
33,-1369.7404761904759,0.16578595340251923,0.8251590728759766,1.1077144145965576,3,0.13449853658676147,0.07321027666330338,0.00020250683883205056,0.7453591227531433,0.04672955721616745,-58.14744186401367,-58.263851165771484,-60.36106491088867,-57.829139709472656,-58.272239685058594,2.0226412903517486,65.48783822059632,89.98573729991912
34,-225.84761904761905,0.16599789261817932,0.6598866581916809,0.8020509481430054,3,0.08350659906864166,0.04854612052440643,0.00012767122825607657,0.8212504982948303,0.046569179743528366,-59.75579833984375,-59.785179138183594,-61.899417877197266,-59.325138092041016,-59.81453323364258,1.8659874934416552,76.37331977257362,88.5799789428711
35,-314.62253521126763,0.1667114794254303,0.6157937049865723,0.6772117018699646,3,0.05585266649723053,0.06119438260793686,0.00011027995788026601,0.8395716547966003,0.04327094554901123,-62.52596664428711,-62.50706100463867,-64.66971588134766,-62.03114700317383,-62.56428146362305,2.013961113017538,80.17602306863536,75.00064634240192
36,-711.3642857142858,0.16813164949417114,0.5662596821784973,0.40567833185195923,3,0.0219316016882658,0.08191375434398651,6.882046000100672e-05,0.851055383682251,0.045030489563941956,-67.0712661743164,-66.677001953125,-69.09626770019531,-66.26495361328125,-66.81147766113281,2.046005759920393,85.25597555977957,75.4287722996303
37,-329.44999999999993,0.1690203994512558,0.7451788187026978,0.5756935477256775,3,0.0108781224116683,0.23387853801250458,5.849942681379616e-05,0.7195608615875244,0.03562391921877861,-70.0140380859375,-69.30913543701172,-71.83154296875,-69.11165618896484,-69.68915557861328,2.01665980165655,88.76911683516069,80.58996443314986
38,-261.94090909090914,0.16944244503974915,0.868929922580719,0.8460485339164734,1,0.00868308637291193,0.4955526888370514,7.644791912753135e-05,0.4588480591773987,0.03683967888355255,-72.59749603271484,-71.67710876464844,-74.28187561035156,-71.68400573730469,-72.06275939941406,1.8588602417393734,92.94190617611534,69.21009123952766
39,-204.1964788732394,0.1695244312286377,0.772583544254303,0.9067400097846985,1,0.007272889371961355,0.7032454013824463,8.612759847892448e-05,0.2416815459728241,0.047713976353406906,-74.03843688964844,-72.88542938232422,-75.60415649414062,-73.0706787109375,-73.3541488647461,1.8410081624984742,95.87099227905273,73.92967720031739
40,-164.00352112676057,0.1696758270263672,0.6612920165061951,0.765485405921936,1,0.004926854744553566,0.7819358706474304,7.200576510513201e-05,0.1658833771944046,0.0471818670630455,-75.48546600341797,-74.1655044555664,-77.02133178710938,-74.44800567626953,-74.73231506347656,1.7884270012378694,96.74779052734375,69.55924949645996
41,-186.00845070422534,0.17002014815807343,0.48608532547950745,0.5867424607276917,1,0.002006735885515809,0.8569985032081604,2.993847920151893e-05,0.11661429703235626,0.024350633844733238,-77.33624267578125,-75.85131072998047,-78.77302551269531,-76.2057113647461,-76.49563598632812,1.843755291058467,100.34494018554688,68.8274653508113
42,-138.7047619047619,0.1703873574733734,0.4306257367134094,0.4949701428413391,1,0.001347616664133966,0.8779608011245728,2.0513729396043345e-05,0.1019655391573906,0.018705572932958603,-78.71267700195312,-77.17036437988281,-80.08563232421875,-77.57540130615234,-77.85140991210938,1.6607821345329286,103.26156997680664,65.42278137207032
43,-144.48863636363637,0.1708046942949295,0.30699431896209717,0.3625102639198303,1,0.0007432980346493423,0.9239706993103027,1.0913140613411088e-05,0.06283541768789291,0.012439711950719357,-80.1332778930664,-78.48040008544922,-81.44976806640625,-78.94253540039062,-79.26769256591797,2.0632195115089416,101.63916320800782,65.61708354949951
44,-163.64014084507042,0.17128239572048187,0.28314435482025146,0.3307781219482422,1,0.0006105303182266653,0.931502640247345,9.000230420497246e-06,0.05702528730034828,0.010852562263607979,-81.54725646972656,-79.827880859375,-82.73690795898438,-80.3111343383789,-80.62491607666016,2.0612335205078125,104.84568405151367,77.34129104614257
45,-144.52857142857144,0.171788290143013,0.24813415110111237,0.30770403146743774,1,0.0004856513987760991,0.9425563216209412,7.0867076829017606e-06,0.047627706080675125,0.00932323932647705,-82.92341613769531,-81.11737823486328,-84.02181243896484,-81.75194549560547,-81.92133331298828,1.9706268191337586,106.13944244384766,58.67519874572754
46,-230.09545454545457,0.17226283252239227,0.14337517321109772,0.27670958638191223,1,0.00024344358826056123,0.9719638824462891,3.262796326453099e-06,0.022092130035161972,0.005697235930711031,-84.15482330322266,-82.31312561035156,-85.22766876220703,-83.06014251708984,-83.07254791259766,2.0147860288619994,108.43929884168837,55.73192808363173
47,-178.10476190476192,0.17293614149093628,0.09706103801727295,0.144729882478714,1,0.00015724354307167232,0.9829620718955994,2.017328142756014e-06,0.01229381188750267,0.004584825597703457,-85.88034057617188,-83.99044799804688,-86.93961334228516,-84.80339050292969,-84.62894439697266,1.7510777711868286,110.4602559407552,54.18309529622396
48,-177.7281690140845,0.173513263463974,0.09640313684940338,0.12620700895786285,1,0.00016280767158605158,0.9832949042320251,2.1299856598488986e-06,0.011004580184817314,0.005535558797419071,-87.2994384765625,-85.3704833984375,-88.35638427734375,-86.2665023803711,-86.00991821289062,1.819990634918213,110.0406883239746,54.93192749023437
49,-153.79545454545456,0.17409276962280273,0.1031147688627243,0.11413075774908066,1,0.0001818730088416487,0.9820338487625122,2.4520670649508247e-06,0.010423730127513409,0.0073580751195549965,-88.79701232910156,-86.76824188232422,-89.81786346435547,-87.69979095458984,-87.46574401855469,2.1488460183143614,112.62024459838867,54.82848701477051
50,-167.45238095238093,0.17461161315441132,0.10735492408275604,0.14223071932792664,1,0.00019033762509934604,0.9811908602714539,2.611853915368556e-06,0.009545850567519665,0.009070404805243015,-90.15192413330078,-88.02992248535156,-91.13076782226562,-89.01339721679688,-88.83497619628906,2.166318416595459,113.46919420030382,58.063287523057724
51,-159.53333333333333,0.17518433928489685,0.09838069975376129,0.12730108201503754,1,0.0001640684495214373,0.9830557107925415,2.2182398424774874e-06,0.007517550140619278,0.009260423481464386,-91.6399917602539,-89.4743423461914,-92.53884887695312,-90.48710632324219,-90.2950210571289,2.0857550382614134,118.51236190795899,52.416066360473636
52,-176.11971830985914,0.1757543981075287,0.08794905245304108,0.1420709192752838,1,0.00013553068856708705,0.9851476550102234,1.7915180023919675e-06,0.00586729496717453,0.008847741410136223,-93.10466003417969,-90.94395446777344,-93.9617691040039,-91.97589874267578,-91.75814056396484,2.1391791462898255,118.27842712402344,61.40008907318115
53,-264.0746478873239,0.17683236300945282,0.0842701643705368,0.08253444731235504,1,0.00012012396473437548,0.9858115911483765,1.577641910444072e-06,0.004907830152660608,0.009158888831734657,-95.92134857177734,-93.79193878173828,-96.605712890625,-94.72940826416016,-94.62217712402344,1.9968678386587846,120.8977319817794,46.10440801319323
54,-154.0,0.17733930051326752,0.08671308308839798,0.10023857653141022,1,0.00012238044291734695,0.985293984413147,1.6215325331359054e-06,0.004946140572428703,0.00963578186929226,-97.3169174194336,-95.14897155761719,-97.89656829833984,-96.13104248046875,-95.97754669189453,2.0454490303993227,124.28745524088542,57.43650033738878
55,-199.35,0.17789939045906067,0.09233669936656952,0.11951635032892227,1,0.00012978981249034405,0.9841025471687317,1.7476725133747095e-06,0.005141549743711948,0.010624369606375694,-98.92575073242188,-96.76091766357422,-99.3165054321289,-97.71379089355469,-97.51526641845703,1.9383206605911254,125.8225112915039,45.875465869903564
56,-164.11363636363637,0.17845451831817627,0.113896444439888,0.11563030630350113,1,0.00016369538207072765,0.9793659448623657,2.311649495823076e-06,0.006045418791472912,0.014422666281461716,-100.49734497070312,-98.2618637084961,-100.65227508544922,-99.24053192138672,-98.97233581542969,2.166238009929657,128.2318908691406,38.1919508934021
57,-190.86666666666667,0.17894743382930756,0.14718419313430786,0.16128405928611755,1,0.00021548348013311625,0.9714112281799316,3.221877705072984e-06,0.0072106304578483105,0.021159445866942406,-101.93433380126953,-99.63381958007812,-101.92426300048828,-100.6063461303711,-100.23207092285156,2.133161187171936,131.69703080919055,43.20110617743598
58,-162.6542253521127,0.17948244512081146,0.21618182957172394,0.23755407333374023,1,0.0003139302134513855,0.9523971080780029,5.1038628043897916e-06,0.008884117007255554,0.03839978948235512,-103.5753173828125,-101.01598358154297,-103.37061309814453,-102.1119613647461,-101.6513442993164,2.009437310695648,130.92518692016603,45.490876007080075
59,-192.7007042253521,0.1799973100423813,0.15176135301589966,0.2871997654438019,1,0.00018044693570118397,0.9695397019386292,2.7344237878423883e-06,0.005460942164063454,0.024816183373332024,-105.22216796875,-102.38384246826172,-104.76004791259766,-103.50739288330078,-103.11453247070312,2.030180722475052,132.85490646362305,43.77596263885498
60,-178.46478873239437,0.18051660060882568,0.09124414622783661,0.17058615386486053,1,9.057660645339638e-05,0.9838207960128784,1.256175892194733e-06,0.003110836260020733,0.012976492755115032,-106.88029479980469,-103.9161605834961,-106.1085205078125,-105.04237365722656,-104.7028579711914,2.2359628558158873,133.57786712646484,50.40492992401123
61,-145.06136363636364,0.18105077743530273,0.07619953155517578,0.10650913417339325,1,6.973883864702657e-05,0.9869922399520874,9.441297947887506e-07,0.002499957801774144,0.01043700985610485,-108.58039855957031,-105.45216369628906,-107.47947692871094,-106.60610961914062,-106.33770751953125,1.7739759922027587,137.56296081542968,41.48660316467285
62,-154.0,0.18159112334251404,0.06488717347383499,0.09351625293493271,1,5.627099744742736e-05,0.9892977476119995,7.454980277543655e-07,0.0021268443670123816,0.008518374525010586,-110.10990905761719,-106.80609893798828,-108.83744049072266,-107.96913146972656,-107.90951538085938,2.142767548561096,139.16240463256835,45.35048580169678
