episode,reward,action_entropy,z_norm,actions
1,-3472.038095238095,2.0778861045837402,4.084766535276778,"Counter({3: 16, 2: 15, 0: 12, 4: 12, 1: 9, 5: 9, 7: 8, 6: 8})"
2,-2672.4809523809517,1.9102556705474854,2.772704627710519,"Counter({0: 27, 1: 18, 3: 14, 6: 11, 2: 11, 7: 6, 5: 6, 4: 4})"
3,-258.947619047619,1.4014891386032104,3.1874902895518713,"Counter({0: 11, 2: 8, 1: 8, 3: 7, 7: 1})"
4,-186.87179487179486,1.3880648612976074,2.7594370225380205,"Counter({2: 10, 1: 8, 0: 7, 3: 4})"
5,-222.7258064516129,1.316145896911621,2.7372344732284546,"Counter({0: 21, 1: 14, 2: 3, 7: 1, 3: 1})"
6,-257.44871794871796,1.0649681091308594,2.589681386947632,"Counter({0: 15, 1: 13, 2: 9, 4: 1})"
7,-278.73809523809524,0.6939144730567932,2.6103074914530704,"Counter({0: 77, 1: 8, 2: 7, 3: 2, 6: 1})"
8,-158.2820512820513,0.4666999578475952,2.2565367203492386,"Counter({0: 57, 3: 4, 1: 2, 2: 2})"
9,-160.78571428571428,0.21159639954566956,2.259299362078309,"Counter({0: 59, 2: 4, 1: 1})"
10,-167.09677419354838,0.35442325472831726,2.3168665488560993,"Counter({0: 52, 2: 6, 1: 2})"
11,-183.5,0.3309085965156555,2.0255595723787945,"Counter({0: 52, 1: 3, 2: 3, 3: 2})"
12,-171.07142857142856,0.4557424485683441,2.1809089517954625,"Counter({0: 56, 2: 5, 1: 4, 3: 1})"
13,-202.91282051282053,0.24391324818134308,2.11017964904507,"Counter({0: 42, 3: 4, 1: 2})"
14,-185.0974358974359,0.353184312582016,2.1967326738617636,"Counter({0: 48, 2: 3, 1: 2, 3: 2})"
15,-205.85483870967738,0.48047634959220886,2.3175831747055056,"Counter({0: 39, 2: 6, 1: 4, 3: 1})"
16,-150.49999999999997,0.5447961688041687,2.2427357596320077,"Counter({0: 63, 3: 4, 1: 4, 2: 3})"
17,-209.09677419354836,0.4405617415904999,2.0082951250175634,"Counter({0: 38, 1: 4, 3: 3, 2: 3})"
18,-160.04285714285714,0.4189065098762512,2.128924263848199,"Counter({0: 60, 1: 6, 2: 4, 3: 2})"
19,-190.12903225806448,0.4127764105796814,2.0930726064576044,"Counter({0: 44, 1: 7, 2: 3})"
20,-215.21428571428572,0.4251505732536316,2.1621217107772828,"Counter({0: 41, 1: 5, 3: 3, 2: 1})"
21,-228.83870967741933,0.5203518867492676,2.016056868433952,"Counter({0: 29, 2: 5, 3: 4, 1: 2})"
22,-198.5,0.44025859236717224,2.125166523045507,"Counter({0: 47, 2: 4, 1: 4, 3: 3})"
23,-205.2051282051282,0.518726646900177,2.1530437734391956,"Counter({0: 41, 2: 6, 1: 5, 3: 2})"
24,-190.91282051282053,0.5169077515602112,2.227587028785988,"Counter({0: 46, 1: 6, 3: 1, 2: 1})"
25,-225.97619047619048,0.5201086401939392,2.1418407758076987,"Counter({0: 37, 1: 7, 2: 5, 3: 2})"
26,-185.89230769230772,0.5096396207809448,2.099598389863968,"Counter({0: 48, 2: 6, 1: 4, 3: 2})"
27,-201.32857142857142,0.5471892952919006,2.112735648949941,"Counter({0: 46, 1: 5, 3: 3, 2: 3})"
28,-203.46774193548384,0.5898392796516418,2.10853519042333,"Counter({0: 39, 3: 5, 2: 3, 1: 1})"
