已加载 logs/compare/PEARL_seed2\best_model.pt

============================================================================================
Unit 16  seq_len=63  （纯 run 推进，z=zero-context mu）
============================================================================================
  t   pA   pB | argmax |  π:run    修A    修B   修AB    更换 |   Q:run     修A     修B    修AB     更换 | maxRepairQ-runQ
  0    0    0 |    run |  0.980 0.005 0.015 0.000 0.000 |   112.8  103.4  105.3   92.7   80.7 |            -7.5
  1    1    1 |    run |  0.988 0.003 0.009 0.000 0.000 |   124.6  114.2  116.3  102.4   89.1 |            -8.3
  2    2    2 |    run |  0.989 0.002 0.009 0.000 0.000 |   127.2  116.6  118.7  104.5   91.1 |            -8.5
 10   10   10 |    run |  0.991 0.002 0.007 0.000 0.000 |   132.3  121.3  123.5  108.9   95.1 |            -8.8
 20   20   20 |    run |  0.990 0.002 0.008 0.000 0.000 |   129.6  118.7  120.9  106.8   93.4 |            -8.7
 30   30   30 |    run |  0.986 0.003 0.011 0.000 0.000 |   120.0  109.8  111.9   98.9   86.7 |            -8.0
 32   32   32 |    run |  0.981 0.004 0.014 0.000 0.000 |   112.2  102.8  104.7   92.6   81.3 |            -7.5
 33   33   33 |    run |  0.980 0.005 0.015 0.000 0.000 |   110.8  101.4  103.3   91.4   80.2 |            -7.4
 34   34   34 |    run |  0.977 0.006 0.017 0.000 0.000 |   107.4   98.3  100.2   88.6   77.8 |            -7.2
 35   35   35 |    run |  0.977 0.006 0.017 0.000 0.000 |   106.7   97.7   99.5   88.1   77.3 |            -7.2
 36   36   36 |    run |  0.978 0.006 0.017 0.000 0.000 |   107.2   98.1  100.0   88.5   77.8 |            -7.2
 37   37   37 |    run |  0.976 0.006 0.018 0.000 0.000 |   105.4   96.4   98.3   87.0   76.5 |            -7.1
 38   38   38 |    run |  0.973 0.007 0.020 0.000 0.000 |   102.6   93.9   95.7   84.7   74.5 |            -6.9
 39   39   39 |    run |  0.971 0.007 0.021 0.000 0.000 |   101.5   92.9   94.7   83.8   73.7 |            -6.8
 40   40   40 |    run |  0.968 0.008 0.024 0.000 0.000 |    99.2   90.7   92.5   81.9   72.1 |            -6.6
 41   41   41 |    run |  0.965 0.009 0.026 0.000 0.000 |    97.0   88.8   90.5   80.2   70.6 |            -6.5
 42   42   42 |    run |  0.960 0.011 0.029 0.000 0.000 |    94.3   86.3   88.0   78.0   68.9 |            -6.3
