episode,reward
1,-3568.720430107527
2,-765.0282051282051
3,-238.1904761904762
4,-186.26190476190476
5,-193.27956989247312
6,-189.58602150537632
7,-189.47619047619048
8,-204.81182795698925
9,-183.46153846153845
10,-186.94871794871796
11,-188.16129032258064
12,-205.58602150537635
13,-187.33870967741936
14,-199.41935483870967
15,-185.0
16,-189.35897435897436
17,-192.83870967741936
18,-196.10752688172042
19,-41.0
20,-185.4
21,-190.4047619047619
22,-188.4
23,-187.17741935483872
24,-196.86021505376343
25,-224.84285714285716
26,-187.51612903225805
27,-195.0752688172043
28,-187.38095238095238
29,-180.03225806451613
30,-50.0
31,-172.78571428571428
32,-197.0
33,-181.14285714285714
34,-248.73846153846154
35,-328.2051282051282
36,-465.8095238095238
37,-551.0
38,-349.03846153846155
39,-396.5
40,-635.8809523809523
41,-593.6923076923076
42,-547.4193548387098
43,-315.30256410256413
44,-619.1129032258065
45,-473.3387096774194
46,-410.0322580645161
47,-251.31538461538463
48,-640.7380952380952
49,-490.8709677419355
50,-501.9897435897436
51,-479.1904761904762
52,-538.7619047619048
53,-321.0
54,-674.2435897435898
55,-375.5967741935484
56,-820.6904761904761
57,-537.741935483871
58,-692.3923076923077
59,-407.5
60,-375.5
61,-727.2741935483872
62,-924.2619047619048
63,-384.33870967741933
64,-651.2619047619048
65,-640.016129032258
66,-603.5215053763441
67,-510.0
68,-705.452380952381
69,-929.3064516129033
70,-667.6307692307693
71,-706.0
72,-787.4193548387096
73,-438.0752688172043
74,-618.0
75,-514.1410256410256
76,-489.9769230769231
77,-700.952380952381
78,-623.9285714285714
79,-914.8076923076923
80,-677.1904761904761
81,-811.9230769230769
82,-687.6451612903227
83,-866.5
84,-742.5
85,-568.6410256410256
86,-954.8548387096773
87,-718.0
88,-331.31538461538463
89,-421.0
90,-684.0
91,-752.6904761904761
92,-337.5
93,-908.6904761904761
94,-819.0
95,-556.0
96,-489.0698924731183
97,-1087.0
98,-750.1307692307693
99,-1141.3153846153846
100,-854.0
101,-665.6571428571428
102,-859.0
103,-859.0
104,-730.5
105,-793.263440860215
106,-389.0
107,-575.5
108,-1032.5
109,-585.0
110,-578.5
111,-825.5
112,-790.5
113,-700.5
114,-759.0
115,-947.5
116,-847.0
117,-222.32857142857142
118,-308.0
119,-455.5
120,-749.0
121,-645.5752688172042
122,-426.5
123,-483.0
124,-805.0
125,-805.0
126,-714.0
127,-413.5
128,-923.0
129,-469.5
130,-327.5
131,-674.0
132,-602.5
133,-200.80645161290323
134,-582.5
135,-644.0
136,-570.0
137,-589.5
138,-737.5752688172042
139,-733.0
140,-421.5
141,-435.0
142,-436.5
143,-412.0
144,-696.0
145,-785.5
146,-223.13076923076926
147,-573.5
148,-787.0
149,-480.5
150,-778.0
151,-479.5
152,-366.0
153,-407.91935483870964
154,-669.0
155,-347.5
156,-653.5752688172042
157,-718.0752688172042
158,-696.5
159,-332.5
160,-584.5
161,-320.5
162,-856.5
163,-683.0
164,-691.0
165,-739.5
166,-619.5
167,-508.0
168,-569.8010752688172
169,-601.5
170,-473.5
171,-705.4193548387098
172,-691.0
173,-429.65714285714284
174,-480.7857142857143
175,-687.0
176,-624.5
177,-475.5
178,-544.5
179,-546.0
180,-783.5
181,-649.5
182,-514.0
183,-606.0
184,-508.9193548387097
185,-692.0
186,-665.5
187,-597.0
188,-680.0
189,-835.0
190,-600.0
191,-704.0
192,-415.0
193,-798.1142857142858
194,-557.5
195,-414.98571428571427
196,-541.0
197,-515.5
198,-382.0
199,-611.0
200,-639.0
201,-668.5
202,-850.0
203,-535.0
204,-646.0
205,-436.0
206,-650.0
207,-655.0752688172042
208,-839.5
209,-676.5
210,-624.5
211,-548.5
212,-374.0
213,-452.5
214,-597.0
215,-586.5
216,-686.0
217,-609.0
218,-520.0
219,-477.0
220,-740.5
221,-615.5
222,-655.5
223,-649.5
224,-554.5
225,-684.0
226,-635.0
227,-553.0
228,-571.0
229,-530.5
230,-549.6571428571428
231,-374.0
232,-620.0
233,-630.0
234,-690.0
235,-361.0
236,-403.0
237,-644.2258064516129
238,-562.5
239,-753.5
240,-559.5
241,-484.0
242,-699.5
243,-683.0
244,-568.5
245,-411.5
246,-645.0
247,-610.5
248,-626.5
249,-388.0
250,-707.0
251,-634.1571428571428
252,-773.0
253,-646.5
254,-654.5
255,-743.0
256,-746.0
257,-512.0
258,-668.0
259,-660.5
260,-657.5
261,-657.5
262,-603.0
263,-534.0
264,-877.0
265,-657.5
266,-565.5
267,-749.0
268,-609.5
269,-646.0
270,-571.0
271,-639.5
272,-563.0
273,-701.0
274,-709.5
275,-606.1571428571428
276,-698.0
277,-667.0
278,-510.0
279,-792.5
280,-638.7857142857142
281,-680.5
282,-602.0
283,-709.5
284,-720.5
285,-485.0
286,-532.0
287,-488.5
288,-434.0
289,-695.0
290,-608.0
291,-610.5
292,-663.0
293,-761.0
294,-760.5
295,-816.0
296,-644.0
297,-730.0
298,-793.0
299,-869.5
300,-838.0
301,-683.5
302,-672.0
303,-851.5
304,-688.5
305,-593.5
306,-615.0
307,-598.5
308,-618.0
309,-766.0
310,-591.0
311,-618.0
312,-721.0
313,-892.5
314,-984.0
315,-734.0
316,-932.5
317,-729.0
318,-543.0
319,-726.5
320,-563.0
321,-655.5
322,-647.5
323,-606.0
324,-885.0
325,-724.5
326,-783.0
327,-886.0
328,-595.5
329,-794.5
330,-783.5
331,-796.5
332,-704.0
333,-648.5
334,-674.5
335,-695.5
336,-518.5
337,-626.5
338,-595.5
339,-779.0
340,-638.5
341,-726.0
342,-753.0
343,-653.0
344,-653.0
345,-892.5
346,-839.5
347,-841.5
348,-721.0
349,-722.5
350,-734.5
351,-714.0
352,-798.0
353,-768.5
354,-915.5
355,-849.5
356,-517.5
357,-815.5
358,-766.0
359,-610.5
360,-625.0
361,-785.5
362,-744.5
363,-792.5
364,-667.5
365,-789.0
366,-906.0
367,-727.0
368,-733.0
369,-615.0
370,-651.0
371,-739.0
372,-684.5
373,-680.0
374,-626.5
375,-763.0
376,-871.5
377,-1049.5
378,-741.5
379,-597.0
380,-888.0
381,-810.5
382,-837.5
383,-934.5
384,-918.0
385,-875.0
386,-744.5
387,-746.5
388,-686.0
389,-639.5
390,-816.0
391,-861.0
392,-859.0
393,-1045.5
394,-590.0
395,-835.5
396,-878.5
397,-832.5
398,-783.0
399,-801.0
400,-809.0
401,-815.5
402,-985.0
403,-855.0
404,-678.0
405,-994.5
406,-728.5
407,-1032.5
408,-731.5
409,-841.0
410,-688.0
411,-659.5
412,-733.0
413,-826.0
414,-974.0
415,-778.5
416,-901.5
417,-960.5
418,-798.0
419,-982.5
420,-678.5
421,-1317.5
422,-755.0
423,-937.5
424,-927.0
425,-885.5
426,-846.5
427,-907.5
428,-1101.5
429,-760.0
430,-1046.5
431,-745.0
432,-731.5
433,-792.5
434,-499.0
435,-726.5
436,-965.0
437,-709.0
438,-839.5
439,-831.5
440,-868.0
441,-813.5
442,-742.0
443,-988.0
444,-972.5
445,-678.5
446,-1002.5
447,-900.5
448,-735.0
449,-702.5
450,-671.5
451,-903.5
452,-1192.5
453,-980.0
454,-945.5
455,-738.5
456,-823.0
457,-916.5
458,-1061.5
459,-844.0
460,-1047.5
461,-1027.0
462,-859.5
463,-825.5
464,-1095.5
465,-1119.0
466,-880.5
467,-1155.5
468,-1133.5
469,-1107.5
470,-705.5
471,-855.0
472,-986.0
473,-896.0
474,-884.5
475,-893.0
476,-776.0
477,-813.5
478,-801.5
479,-1071.5
480,-1353.0
481,-1395.5
482,-1341.0
483,-812.5
484,-931.5
485,-1076.0
486,-1294.0
487,-1038.5
488,-1105.0
489,-1210.5
490,-964.5
491,-1158.5
492,-670.5
493,-1050.5
494,-1004.5
495,-1240.0
496,-618.0
497,-1133.0
498,-1184.5
499,-923.0
500,-1274.0
501,-980.5
502,-862.0
503,-753.1142857142856
504,-1163.5
505,-1489.0
506,-974.0
507,-933.0
508,-1287.5
509,-1414.0
510,-1147.5
511,-889.0
512,-1100.0
513,-1568.5
514,-936.5
515,-1198.0
516,-1171.1538461538462
517,-995.5
518,-1001.0
519,-1369.6025641025642
520,-1365.4193548387098
521,-892.4142857142857
522,-1396.4193548387098
523,-980.5
524,-901.5
525,-864.0
526,-957.9193548387096
527,-1378.9193548387098
528,-1238.5
529,-1559.6025641025642
530,-1127.0
531,-1122.0
532,-1066.9193548387098
533,-1313.0
534,-549.6571428571428
535,-1113.0
536,-1432.9461538461537
537,-1503.5
