episode,reward
1,-1870.9946236559142
2,-1644.128205128205
3,-960.5
4,-752.0
5,-2812.3817204301076
6,-475.2952380952381
7,-257.5
8,-188.76344086021504
9,-181.0
10,-235.69047619047618
11,-261.44615384615383
12,-201.12903225806448
13,-191.26881720430106
14,-212.07142857142856
15,-210.82051282051282
16,-154.43333333333334
17,-151.13333333333335
18,-140.2075268817204
19,-607.6333333333332
20,-630.2285714285715
21,-465.32857142857165
22,-685.3923076923078
23,-731.1923076923077
24,-583.6290322580645
25,-741.6021505376343
26,-1018.5714285714287
27,-1404.0846153846153
28,-1129.5714285714287
29,-1223.0
30,-1906.2692307692307
31,-1618.5769230769229
32,-1390.857142857143
33,-2101.161290322581
34,-1342.6129032258063
35,-1555.9428571428575
36,-1324.9999999999998
37,-1639.3548387096773
38,-1680.1999999999998
39,-1102.7857142857142
40,-1593.3461538461538
41,-1091.8064516129032
42,-1331.032258064516
43,-1675.274193548387
44,-976.2857142857142
45,-1457.258064516129
46,-1576.853846153846
47,-1335.0
48,-1627.7857142857142
49,-747.5
50,-1180.0
51,-1128.0
52,-950.5
53,-577.2692307692307
54,-1418.5
55,-971.5
56,-1227.5
57,-827.0
58,-2162.0
59,-1176.0
60,-1190.0
61,-1232.0
62,-1302.0
63,-1831.0
64,-996.5
65,-1325.0
66,-1029.0
67,-1370.5
68,-1252.5
69,-975.0
70,-921.5
71,-998.5
72,-718.0
73,-591.5
74,-936.5
75,-892.0
76,-106.0
77,-324.0
78,-886.5
79,-1310.5
80,-869.0
81,-816.0
82,-1174.0
83,-1041.5
84,-854.5
85,-145.0
86,-626.5
87,-238.5
88,-1598.2857142857142
89,-507.758064516129
90,-1133.2857142857142
91,-671.0
92,-682.0
93,-1008.0
94,-819.0
95,-1590.0
96,-1123.0
97,-1281.0
98,-1454.7857142857142
99,-958.2692307692307
100,-996.258064516129
101,-1152.1142857142859
102,-867.258064516129
103,-888.258064516129
104,-739.0
105,-502.8153846153846
106,-291.4307692307692
107,-685.9193548387096
108,-968.757142857143
109,-690.3714285714286
110,-832.214285714286
111,-637.2857142857143
112,-895.1612903225806
113,-665.2692307692307
114,-1032.8857142857141
115,-717.3870967741935
116,-787.1153846153845
117,-1618.442857142857
118,-1743.142857142857
119,-1518.357142857143
120,-986.258064516129
121,-792.758064516129
122,-868.758064516129
123,-1656.7857142857142
124,-678.4307692307691
125,-1052.2857142857142
126,-1128.6571428571428
127,-1285.8428571428572
128,-537.7128205128204
129,-1051.6290322580644
130,-849.8709677419354
131,-211.0846153846154
132,-824.8064516129032
133,-1293.5428571428574
134,-760.7857142857142
135,-1652.0
136,-457.1025641025642
137,-1499.2999999999997
138,-618.1282051282051
139,-517.1282051282051
140,-737.4230769230769
141,-1417.8064516129032
142,-1123.8387096774193
143,-2094.6285714285714
144,-2233.2142857142853
145,-1830.357142857143
146,-509.06410256410265
147,-1274.6410256410256
148,-2701.0
149,-2575.0
150,-2473.758064516129
151,-2956.258064516129
152,-1001.9230769230767
153,-948.1282051282051
154,-1764.6612903225805
155,-2155.516129032258
156,-2530.0714285714284
157,-2951.0714285714284
158,-2657.442857142857
159,-1143.4153846153845
160,-3090.142857142857
161,-2530.6129032258063
162,-2667.5483870967746
163,-3617.1142857142854
164,-1199.8923076923074
165,-2124.758064516129
166,-1059.9615384615386
167,-1834.9358974358972
168,-2844.3846153846152
169,-2893.7419354838707
170,-3442.785714285714
171,-3434.3064516129034
172,-4004.758064516129
173,-3893.5
174,-2403.5256410256407
175,-2500.758064516129
176,-3328.516129032258
177,-2453.7692307692305
178,-3037.9102564102564
179,-3536.5
180,-2562.5
181,-2313.5256410256407
182,-2901.2741935483873
183,-3165.8225806451615
184,-3021.1538461538457
185,-3356.785714285714
186,-3045.0
187,-2600.782051282051
188,-2958.5
189,-2638.1290322580644
190,-3273.8974358974356
191,-3302.282051282051
192,-3264.785714285714
193,-2480.782051282051
194,-4695.166666666666
195,-2307.238461538461
196,-3329.8387096774195
197,-2863.1
198,-3479.214285714286
199,-3546.457142857143
200,-3238.806451612904
201,-1384.1948717948715
202,-2865.274193548387
203,-3275.935483870968
204,-2703.4032258064512
205,-3494.7903225806454
206,-3367.6129032258063
207,-2435.6714285714284
208,-2510.171428571429
209,-1103.5384615384614
210,-3037.1129032258063
211,-2734.528571428571
212,-3433.1
213,-3129.9571428571426
214,-3031.3857142857146
215,-3136.6285714285714
216,-2604.571428571429
217,-2067.6935483870966
218,-1892.306451612903
219,-1733.0142857142857
220,-2141.532258064516
221,-1746.9193548387095
222,-2020.7714285714285
223,-1928.6142857142854
224,-1985.3387096774193
225,-2491.1142857142854
226,-2401.0571428571434
227,-2163.314285714286
228,-2618.1129032258063
229,-576.6564102564103
230,-2980.258064516129
231,-2377.870967741936
232,-320.4256410256411
233,-2450.1285714285714
234,-644.9230769230767
235,-307.40000000000003
236,-2412.014285714286
237,-566.1538461538462
238,-2691.5
239,-3479.5
240,-2873.451612903226
241,-409.1564102564103
242,-1964.2258064516127
243,-2725.5857142857144
244,-2497.1451612903224
245,-3018.214285714286
246,-233.87179487179486
247,-2194.983870967742
248,-2733.0483870967737
249,-2087.3387096774195
250,-473.53846153846166
251,-2456.7428571428572
252,-2195.564516129032
253,-2695.6129032258073
254,-2702.257142857143
255,-2330.5806451612907
256,-2311.1451612903224
257,-412.5641025641026
258,-2533.016129032258
259,-412.05641025641035
260,-2613.6
261,-3023.0
262,-2237.4516129032254
263,-2223.1290322580644
264,-2891.542857142857
265,-1917.758064516129
266,-3436.057142857143
267,-1764.0645161290322
268,-537.323076923077
269,-2077.1129032258063
270,-2734.8064516129034
271,-3120.057142857143
272,-4132.657142857142
273,-2575.8709677419356
274,-2292.258064516129
275,-865.7948717948716
276,-2339.8709677419356
277,-604.2846153846154
278,-1162.7846153846153
279,-874.6923076923076
280,-914.0282051282052
281,-1992.6290322580644
282,-1816.0
283,-483.8717948717949
284,-337.6256410256411
285,-426.1
286,-474.2692307692307
287,-472.0923076923077
288,-1965.7142857142858
289,-1963.742857142857
290,-1886.1142857142856
291,-629.751282051282
292,-2682.1857142857143
293,-1599.0
294,-2642.285714285714
295,-2473.2857142857138
296,-1668.5
297,-3340.942857142857
298,-748.2692307692307
299,-485.3410256410257
300,-646.6923076923076
301,-2353.4
302,-2461.6129032258063
303,-2626.5
304,-650.525641025641
305,-536.6923076923077
306,-587.1538461538462
307,-2260.2580645161293
308,-3035.357142857143
309,-3261.942857142857
310,-2710.5142857142855
311,-2631.928571428571
312,-2218.1129032258063
313,-2589.542857142857
314,-792.2333333333332
315,-2005.4714285714285
316,-2243.758064516129
317,-2014.0
318,-660.7948717948717
319,-370.89743589743597
320,-733.3333333333331
321,-794.5256410256409
322,-670.3974358974358
323,-2774.385714285714
324,-2771.8142857142857
325,-1685.5
326,-1592.1129032258063
327,-3380.114285714286
328,-1054.0256410256409
329,-2199.7580645161293
330,-1614.8709677419354
331,-659.1666666666667
332,-3593.9142857142856
333,-1179.5256410256409
334,-1212.5256410256409
335,-914.9128205128204
336,-1054.0256410256409
337,-1820.0
338,-2222.0
339,-3166.4428571428575
340,-3476.828571428571
341,-893.7846153846152
342,-1980.5
343,-1662.5
344,-3829.1857142857143
345,-1931.0
346,-631.153846153846
347,-2677.8142857142857
348,-751.4256410256409
349,-887.5256410256409
350,-1038.153846153846
351,-2107.0
352,-3427.4
353,-1880.0
354,-982.5384615384614
355,-938.0256410256409
356,-3832.4
357,-753.6538461538462
358,-2058.5
359,-866.6564102564101
360,-3135.1571428571433
361,-541.5282051282051
362,-1973.0
363,-1724.2285714285713
364,-1293.5
365,-2171.342857142857
366,-498.0256410256411
367,-1661.5
368,-1394.5
369,-2502.8714285714286
370,-1765.0
371,-720.130769230769
372,-2386.828571428571
373,-2855.285714285714
374,-695.7820512820513
375,-2024.2285714285713
376,-746.6538461538462
377,-1921.0
378,-1785.0
379,-1070.0461538461536
380,-3160.7285714285717
381,-2391.285714285714
382,-2951.0142857142855
383,-3058.157142857143
384,-1241.9153846153845
385,-4150.114285714286
386,-4105.328571428572
387,-815.0256410256409
388,-2187.0
389,-4654.328571428572
390,-2762.0
391,-2101.5
392,-1027.153846153846
393,-3659.657142857143
394,-1596.5
395,-2833.3714285714286
396,-2553.328571428571
397,-2841.328571428571
398,-2232.0
399,-2199.0
400,-2493.5
401,-1264.5128205128203
402,-2953.0
403,-1577.1538461538457
404,-2331.0
