episode,reward
1,-1777.0076923076927
2,-394.59999999999997
3,-334.80769230769226
4,-51.6
5,-320.2285714285714
6,-335.61538461538464
7,-312.9076923076923
8,-295.258064516129
9,-303.74285714285713
10,-316.2285714285714
11,-158.49999999999994
12,-226.24615384615385
13,-239.3384615384615
14,-233.9142857142857
15,-259.53846153846155
16,-294.5285714285714
17,-339.24285714285713
18,-285.5322580645161
19,-296.17692307692306
20,-296.53846153846155
21,-308.05806451612904
22,-282.8258064516129
23,-294.2
24,-293.8225806451613
25,-296.0857142857143
26,-64.0
27,-293.34516129032255
28,-322.38461538461536
29,-293.33870967741933
30,-277.22580645161287
31,-278.0258064516129
32,-304.458064516129
33,-320.7
34,-46.0
35,-303.4846153846154
36,-307.22258064516126
37,-300.7451612903226
38,-308.95384615384614
39,-496.0857142857143
40,-2893.3999999999996
41,-3372.6000000000004
42,-2316.58064516129
43,-2437.885714285715
44,-1817.1451612903224
45,-822.4935483870968
46,-3133.8000000000006
47,-2382.5999999999995
48,-2581.635483870968
49,-3042.4
50,-2478.793548387097
51,-2696.9999999999995
52,-2073.9
53,-517.9538461538461
54,-971.9451612903224
55,-1594.1
56,-1995.457142857143
57,-2913.4
58,-2782.8
59,-942.157142857143
60,-1305.7451612903224
61,-2934.4
62,-2024.8285714285712
63,-1279.657142857143
64,-2336.5999999999995
65,-2986.2000000000003
66,-3664.1846153846145
67,-2384.2000000000003
68,-2077.2
69,-3050.600000000001
70,-3790.0000000000005
71,-2568.0
72,-1975.7230769230766
73,-1980.758064516129
74,-1813.1451612903227
75,-2279.332258064516
76,-3706.800000000001
77,-529.5516129032258
78,-3703.8000000000015
79,-1571.3846153846152
80,-2885.4
81,-3276.2769230769236
82,-3317.000000000001
83,-3714.4
84,-3398.6
85,-648.8
86,-309.9806451612903
87,-379.34516129032255
88,-3432.8428571428576
89,-3554.4000000000005
90,-1330.0571428571427
91,-3367.400000000001
92,-3429.0000000000005
93,-3049.8
94,-2108.3870967741937
95,-3392.8000000000015
96,-3175.0000000000005
97,-3049.8000000000006
98,-1824.2714285714285
99,-2860.9285714285716
100,-2057.430769230769
101,-485.5387096774193
102,-1253.5428571428574
103,-3213.7999999999993
104,-2735.6000000000004
105,-2465.5451612903225
106,-2715.328571428571
107,-2641.8
108,-1690.007692307692
109,-2374.999999999999
110,-2309.0923076923073
111,-2657.6714285714284
112,-3591.957142857143
113,-4223.561538461539
114,-1431.4354838709676
115,-3349.2000000000003
116,-2758.829032258065
117,-1114.3846153846152
118,-3019.6
119,-1781.309677419355
120,-3573.5153846153853
121,-3176.3461538461534
122,-666.0
123,-3471.415384615386
124,-2827.2000000000007
125,-3103.315384615386
126,-1367.4692307692305
127,-1780.3516129032257
128,-2017.3923076923074
129,-2187.8142857142857
130,-2901.1538461538466
131,-1458.1538461538462
132,-3700.0285714285715
133,-2893.6
134,-847.6
135,-3483.1285714285714
136,-2688.0774193548386
137,-4149.0
138,-2954.8142857142852
139,-3810.614285714286
140,-3789.0354838709686
141,-456.61538461538464
142,-839.6142857142856
143,-4341.400000000001
144,-3234.7999999999997
145,-1318.3322580645163
146,-3999.3999999999996
147,-3249.835483870968
148,-3558.4419354838697
149,-1346.353846153846
150,-3543.2000000000003
151,-5562.738461538462
152,-2387.1741935483874
153,-8032.4
154,-4778.285714285715
155,-3553.3571428571427
156,-7616.992307692307
157,-899.6153846153846
158,-4708.214285714286
159,-846.1387096774192
160,-1029.8387096774193
161,-1415.730769230769
162,-4699.376923076922
163,-6538.053846153845
164,-1305.9290322580644
165,-1659.1774193548388
166,-8139.515384615385
167,-7089.607692307692
168,-7953.542857142857
169,-1641.625806451613
170,-5625.948387096773
171,-2677.0076923076927
172,-3153.285714285714
173,-1490.2692307692307
174,-1560.1709677419358
175,-2494.628571428571
176,-883.516129032258
177,-3273.9923076923083
178,-3277.23870967742
179,-1044.2384615384615
180,-1499.9
181,-3703.6857142857148
182,-1593.4285714285713
183,-1442.3
184,-1157.071428571429
185,-6996.942857142856
186,-4140.714285714286
187,-3817.5571428571434
188,-748.9645161290323
189,-3239.7857142857133
190,-766.3307692307694
191,-2177.1000000000004
192,-7316.871428571429
193,-6362.428571428572
194,-1007.7451612903226
195,-8502.57142857143
196,-1098.8129032258064
197,-8533.476923076923
198,-2879.5451612903225
199,-1740.5285714285717
200,-1275.0857142857144
201,-2624.8285714285716
202,-6401.714285714286
203,-6686.771428571428
204,-1683.9923076923073
205,-7026.269230769231
206,-3792.057142857142
207,-4228.3
208,-8074.042857142858
209,-6583.9857142857145
210,-1101.7923076923075
211,-2067.5935483870967
212,-1215.2153846153844
213,-4766.028571428571
214,-1339.151612903226
215,-1784.3307692307692
216,-1098.9032258064515
217,-7182.771428571429
218,-3749.9645161290327
219,-8991.357142857145
220,-1198.6548387096773
221,-1507.4645161290325
222,-1378.6870967741936
223,-9289.361538461539
224,-1336.7714285714287
225,-1022.632258064516
226,-1844.8538461538462
227,-2458.3451612903227
228,-4684.869230769232
229,-3918.514285714285
230,-2468.814285714286
231,-3175.8846153846152
232,-875.2838709677419
233,-3200.871428571428
234,-3152.7923076923075
235,-1080.432258064516
236,-4590.514285714286
237,-1255.7692307692307
238,-2101.1838709677418
239,-1801.1538461538462
240,-3224.442857142857
241,-1680.2
242,-2925.6903225806454
243,-7383.471428571429
244,-1424.1285714285716
245,-1990.3645161290324
246,-2038.4285714285718
247,-2185.6193548387096
