episode,reward
1,-1239.8
2,-31.799999999999997
3,-37.39999999999999
4,-16.399999999999995
5,-56.39999999999999
6,-35.60000000000001
7,-58.39999999999999
8,-27.200000000000003
9,-13.799999999999997
10,-38.0
11,-9.0
12,-13.0
13,-14.400000000000006
14,-12.0
15,-31.400000000000006
16,-24.799999999999997
17,-30.200000000000003
18,-0.5999999999999943
19,-8.0
20,-27.0
21,-28.799999999999997
22,-29.599999999999994
23,-26.400000000000006
24,-30.400000000000006
25,-18.200000000000003
26,-27.0
27,-18.19999999999999
28,-2.4000000000000057
29,-26.400000000000006
30,-1.4000000000000057
31,-28.599999999999994
32,-16.599999999999994
33,-14.599999999999994
34,-30.799999999999997
35,-19.599999999999994
36,-27.799999999999997
37,-29.200000000000003
38,-28.200000000000003
39,-17.0
40,-22.0
41,-31.200000000000003
42,-22.400000000000006
43,-17.200000000000003
44,-25.0
45,-25.599999999999994
46,-24.200000000000003
47,-24.400000000000006
48,-27.0
49,-26.799999999999997
50,-29.599999999999994
51,-18.599999999999994
52,-39.4
53,-23.0
54,-27.400000000000006
55,-16.599999999999994
56,-17.400000000000006
57,-33.599999999999994
58,-19.599999999999994
59,-17.400000000000006
60,-27.599999999999994
61,-38.599999999999994
62,-33.2
63,-30.599999999999994
64,-38.8
65,-15.200000000000003
66,-80.0
67,-19.599999999999994
68,-23.200000000000003
69,-88.0
70,-35.0
71,-111.4
72,-20.200000000000003
73,-80.6
74,-163.2
75,-94.4
76,-297.20000000000005
77,-696.8
78,-741.0
79,-148.4
80,-416.0
81,-212.8
82,-270.20000000000005
83,-74.4
84,-33.2
85,-589.0
86,-27.0
87,-176.0
88,-583.8
89,-339.2
90,-24.799999999999997
91,-42.800000000000004
92,-130.4
93,-184.8
94,-236.00000000000003
95,-22.19999999999999
96,-92.19999999999999
97,-99.2
98,-420.8
99,-930.8000000000001
100,-1381.8
101,-158.39999999999998
102,-990.6
103,-1403.0
104,-356.2
105,-1688.8
106,-2269.7999999999997
107,-238.20000000000002
108,-123.8
109,-456.8
110,-1243.5999999999997
111,-199.60000000000002
112,-3023.3999999999996
113,-38.2
114,-424.40000000000003
115,-2282.7999999999997
116,-402.8
117,-424.00000000000006
118,-100.6
119,-706.6
120,-90.4
121,-356.40000000000003
122,-352.6
123,-732.2
124,-448.40000000000003
125,-227.0
126,-532.2
127,-857.2
128,-135.60000000000002
129,-249.4
130,-497.0
131,-331.2
132,-973.2
133,-332.6
134,-303.8
135,-320.0
136,-368.6
137,-465.0
138,-420.0
139,-489.0
140,-646.2
141,-476.0
142,-421.0
143,-391.0
144,-1149.8
145,-389.0
146,-338.0
147,-446.8
148,-434.8
149,-513.0
150,-513.0
151,-350.6
152,-508.0
153,-411.0
154,-491.0
155,-445.0
156,-366.8
157,-442.8
158,-446.8
159,-482.0
160,-363.6
161,-490.0
162,-295.6
163,-372.8
164,-287.8
165,-313.8
166,-430.0
167,-489.8
168,-366.8
169,-397.0
170,-560.0
171,-776.0
172,-531.0
173,-513.0
174,-296.0
175,-456.0
176,-531.0
177,-391.6
178,-351.8
179,-425.20000000000005
180,-365.8
181,-444.8
182,-363.0
183,-406.8
184,-481.0
185,-532.0
186,-426.0
187,-314.6
188,-452.8
189,-366.8
190,-401.0
191,-645.0
192,-394.8
193,-406.8
194,-318.4
195,-901.0
196,-178.79999999999998
197,-439.8
198,-314.8
199,-709.6
200,-447.8
201,-364.4
202,-455.0
203,-223.20000000000002
204,-320.6
205,-518.0
206,-386.0
207,-777.2
208,-461.0
209,-334.4
210,-357.6
211,-801.0
212,-477.2
213,-334.4
214,-314.8
215,-490.0
216,-461.0
217,-330.4
218,-387.0
219,-315.6
220,-455.0
221,-403.8
222,-928.9999999999999
223,-221.8
224,-448.0
225,-447.0
226,-398.8
227,-436.6
228,-403.8
229,-372.4
230,-315.6
231,-398.8
232,-315.6
233,-490.0
234,-325.2
235,-445.8
236,-241.4
237,-263.4
238,-437.0
239,-447.8
240,-266.4
241,-410.20000000000005
242,-513.0
243,-375.0
244,-504.0
245,-328.4
246,-327.2
247,-482.0
248,-458.8
249,-448.0
250,-448.0
251,-398.0
252,-329.4
253,-380.0
254,-404.8
255,-387.8
256,-447.8
257,-237.0
258,-381.0
259,-454.8
260,-221.4
261,-380.2
262,-330.0
263,-330.8
264,-398.8
265,-398.0
266,-398.8
267,-761.8
268,-397.8
269,-398.8
